firstlabel_group,prdlstReportNo,prdlstNm,prdkind,manufacture,seller,rawmtrl,allergy,nutrient,barcode,capacity,productGb,imgurl1,imgurl2,prdkindstate,rnum,group_rule,embedding_text
과자,2014043336350,핫꼬부리,과자,대하식품_충북 충주시 소가주1길 118-6(가주동),대하식품_충북 충주시 소가주1길 118-6(가주동),"소맥분(미국,호주산),팜올레인유(말레이시아산),복합시즈닝고추장맛씨즈닝-고추장베이스92%[기타설탕{백설탕,전분(밀)},미립당,정제소금(국산)],떡볶이베이스[분말고추장2호[고추장2호{소맥분(호주,미국산),된장2호(대두(외국산),소맥분(호주,미국산)},말토덱스트린,정제염(국내산)],무수포도당,알파덱스트린,말토덱스트린,고화방지분당](쇠고기,우유,닭고기),덱스트린](토마토),덱스트린,에프에스피-1(대두),이산화규소(고결방지제)1%,제3인산칼슘,백설탕,옥수수전분,식염,합성팽창제(이스트)",알수없음,"1회 제공량 100g 498kcal
<1회 제공량당 함량 1일 영양성분 기준치에 대한 비율>
나트륨128㎎ 6%, 탄수화물40g 12%, 당류1g, 지방0.4g 1%, 트랜스지방0g 0%, 포화지방0.1g 1%, 콜레스테롤0㎎ 0%, 단백질4g 8%
1일 영양성분 기준치에 대한 비율(%)은 2,000kcal 기준이므로 개인의 필요 열량에 따라 다를 수 있습니다.",알수없음,100g,식품,http://www.haccp.or.kr/fresh/prdimg/2014/2014043336350/2014043336350-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2014/2014043336350/2014043336350-2.jpg,유탕처리식품,801,품목유형: 과자,제품명: 핫꼬부리 | 카테고리: 과자
과자,2014043336348,도라에몽 치즈모찌,과자,대하식품_충북 충주시 소가주1길 118-6(가주동),㈜명도물산_서울시 구로구 디지털로 30길 31 803호,"찹쌀유과떡[찹쌀(국내산),대두(국내산),주정],팜올레인유(말레이시아산),치즈맛시즈닝[치즈맛베이스{유청분말(유청-칠레산),기타설탕(백설탕,전분-밀),미립당,향미증진제,체다치즈혼합분말},무수결정포도당,체다치즈혼합분말,이산화규소(고결방지제)]","밀,우유,대두","총 내용량 35g 199kcal
<총 내용량당 1일 영양성분 기준치에 대한 비율>
나트륨230㎎ 12%, 탄수화물19g 6%, 당류5g 5%, 지방13g 24%, 트랜스지방0g, 포화지방0g 0%, 콜레스테롤5㎎미만 1%, 단백질1g 2%
* 1일 영양성분 기준치에 대한 비율(%)은 2,000kcal 기준이므로 개인의 필요 열량에 따라 다를 수 있습니다.",알수없음,35g,식품,http://www.haccp.or.kr/fresh/prdimg/2014/2014043336348/2014043336348-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2014/2014043336348/2014043336348-2.jpg,유탕처리제품,802,품목유형: 과자,제품명: 도라에몽 치즈모찌 | 카테고리: 과자
과자,2014043336342,설과자매콤매콤떡꼬치맛,과자,대하식품 / 충북 충주시 소가주1길 118-6 (가주동),대하식품 충북 충주시 소가주1길 118-6(가주동),"찹쌀유과떡 [찹쌀(국내산) 97.5%, 대두 (국내산) 1.2%, 주정 1.3%] 44% 식물성유지(채종유:캐나다산) 44%, 스리라차 칠리소스맛 씨즈닝 [칠리소스맛 분말 42.7% (결정과당, 빙초산분말 1호, 고추장분말 2호, 하바네로칠리시즈닝 분말-3 7.03%{하바네로 칠리시즈닝 분말 93%(래드매쉬 핫소스 50% (하바네로칠리 15.9%))}, 토스티드오니언파우더, 할라페노스타일핫페퍼테크노레진0.7%{할라페노스타일핫페퍼테크노레진90%(올레오레진캪시컴100%)}], 미립당, 미분염(국산), 양파분말2, 비프PK-3NW, 에이치와이비211, 구연산, 이산화규소(고결방지제), 파프리카추출색소, 아스파탐(합성감미료, 페닐알라닌 함유) 12%","대두, 우유 함유",알수없음,알수없음,45g,식품,http://www.haccp.or.kr/fresh/prdimg/2014/2014043336342/2014043336342-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2014/2014043336342/2014043336342-2.jpg,유탕처리제품,803,품목유형: 과자,제품명: 설과자매콤매콤떡꼬치맛 | 카테고리: 과자
과자,2014043336341,설과자고소고소인절미맛,과자,대하식품 / 충북 충주시 소가주1길 118-6 (가주동),대하식품 충북 충주시 소가주1길 118-6(가주동),"찹쌀 유과떡[찹쌀(국내산 97.5%, 대두(국내산) 1.2%, 주정1.3%]44%식물성유지 (채종유 : 캐나다산) 44%, 인절미맛 씨즈닝[볶음 콩가루 40% (대두:미국산), 백설탕, 탈지분유(미국산), 유당, 포도당, 천일염, 믹스넛트향 - 에스(합성착향료), 수크랄로스 (인공감미료), 향미증진제] 12%","대두, 우유 함유",알수없음,알수없음,45g,식품,http://www.haccp.or.kr/fresh/prdimg/2014/2014043336341/2014043336341-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2014/2014043336341/2014043336341-2.jpg,유탕처리제품,804,품목유형: 과자,제품명: 설과자고소고소인절미맛 | 카테고리: 과자
과자,2014038329999,콘칩 군옥수수맛,과자,미찌푸드㈜/강원도 원주시 문막읍 반산2로 72,㈜비지에프리테일/서울특별시 강남구 테헤란로 405,"콘칩펠렛1 71.90%[옥수수그릿츠99.41%(외국산:브라질,호주,러시아 등), 정제소금(국내산)], 팜올레인유(말레이시아산), 군옥수수맛씨즈닝엠[콘포타쥬씨즈닝베이스-1{후레버드콘씨즈닝-1{스위트콘혼합물(알파콘 : 옥수수(외국산))}}, 유청분말{우유(국산)}]","밀, 대두, 우유 함유","총 내용량 170g 925kcal 총 내용량당 1일 영양성분 기준치에 대한 비율 나트륨 660mg 33%, 탄수화물 105g 32%, 당류 4g 4%, 콜레스테롤 -mg 0%, 지방 52g 96%, 트랜스지방 0g, 포화지방 23g 153%, 단백질 9g 16% 1일 영양성분 기준치에 대한 비율(%)은 2,000kcal기준이므로 개인의 필요 열량에 따라 다를 수 있습니다.",8809189922163,170g,식품,http://www.haccp.or.kr/fresh/prdimg/2014/2014038329999/2014038329999-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2014/2014038329999/2014038329999-2.jpg,유탕처리제품,826,품목유형: 과자,제품명: 콘칩 군옥수수맛 | 카테고리: 과자
과자,2014038329994,나쵸칩 비프화이타맛,과자,미찌푸드㈜강원도 원주시 문막읍 반산2로 72 전화번호 080-550-1550,㈜이마트/서울특별시 성동구 뚝섬로 377(성수동 2가) 전화번호(02)380-5678,"프리커트 언프라이드[중국산/옥수수(유전자 재조합옥수수 포함 가능성 있음), 카르복실메틸셀룰로오스나트륨, 프로피온산칼슘(합성보존료),구연산,치자황색소],혼합식용유[팜올레인유(말레이시아산)59.98%,해바라기유(수입산)40%,D-토코페롤혼합제제],비프화이타맛씨즈닝3.8%[비프파우더6%{비프분해액27.07%(우정육53.48(국산))},합성감미료(아스파탐:페닐알라닌함유)]특정성분및함량 : 비프0.03%(국산)","우유,대두,밀,토마토,쇠고기함유","1회 제공량 약 1/3(33g)/ 총 3회 제공량(100g) 1회 제공량당 함량 : 열량 158kcal, 탄수화물 24g 7%, 당류 0.7g, 단백질 2g 4%, 지방 7g 14%, 포화지방 2.7g 18%, 트랜스지방 0g, 콜레스테롤 0mg 0%, 나트륨 180mg 9% *()안의 수치는 영양성분 기준치에 대한 비율임",8809189922071,100g,식품,http://www.haccp.or.kr/fresh/prdimg/2014/2014038329994/2014038329994-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2014/2014038329994/2014038329994-2.jpg,유탕처리제품,827,품목유형: 과자,제품명: 나쵸칩 비프화이타맛 | 카테고리: 과자
과자,2014038329993,나쵸칩 할라피뇨맛,과자,미찌푸드㈜강원도 원주시 문막읍 반산2로 72 전화번호 080-550-1550,㈜이마트/서울특별시 성동구 뚝섬로 377(성수동 2가) 전화번호(02)380-5678,"프리커트 언프라이드[중국산/옥수수(유전자 재조합옥수수 포함 가능성 있음), 카르복실메틸셀룰로오스나트륨, 프로피온산칼슘(합성보존료),구연산,치자황색소],혼합식용유[팜올레인유(말레이시아산)59.98%,해바라기유(수입산)40%,D-토코페롤혼합제제],할라피뇨맛맛씨즈닝-엠4.43%[할라피뇨시즈닝엠10%{할라피뇨분말26.6%{나초슬라이스할라피뇨페퍼50%(멕시코산)/슬라이스할라피뇨페퍼60%)}}] 특정성분 및 함량 : 할라피뇨0.03%(멕시코산)","우유,대두,밀,토마토함유","1회 제공량 약 1/3(33g)/ 총 3회 제공량(100g) 1회 제공량당 함량 : 열량 167kcal, 탄수화물 20g 6%, 당류 1g, 단백질 2g 4%, 지방 9g 18%, 포화지방 3.3g 22%, 트랜스지방 0g, 콜레스테롤 0mg 0%, 나트륨 255mg 13% *()안의 수치는 영양성분 기준치에 대한 비율임",8809189922026,100g,식품,http://www.haccp.or.kr/fresh/prdimg/2014/2014038329993/2014038329993-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2014/2014038329993/2014038329993-2.jpg,유탕처리제품,828,품목유형: 과자,제품명: 나쵸칩 할라피뇨맛 | 카테고리: 과자
과자,2014038329992,나쵸칩 오리지널,과자,미찌푸드㈜강원도 원주시 문막읍 반산2로 72 전화번호 080-550-1550,㈜이마트/서울특별시 성동구 뚝섬로 377(성수동 2가) 전화번호(02)380-5678,"프리커트 언프라이드[중국산/옥수수(유전자 재조합옥수수 포함 가능성 있음), 카르복실메틸셀룰로오스나트륨, 프로피온산칼슘(합성보존료),구연산,치자황색소],혼합식용유[팜올레인유(말레이시아산)59.98%,해바라기유(수입산)40%,D-토코페롤혼합제제],호수염맛씨즈닝",대두함유,"1회 제공량 1/3봉(33g)/ 총 3회 제공량(100g) 1회 제공량당 함량 : 열량 163kcal, 탄수화물 23g 7%, 당류 0.5g, 단백질 2g 4%, 지방 7g 14%, 포화지방 2.7g 18%, 트랜스지방 0g, 콜레스테롤 0mg 0%, 나트륨 155mg 8% *()안의 수치는 영양성분 기준치에 대한 비율임",8809189921975,100g,식품,http://www.haccp.or.kr/fresh/prdimg/2014/2014038329992/2014038329992-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2014/2014038329992/2014038329992-2.jpg,유탕처리제품,829,품목유형: 과자,제품명: 나쵸칩 오리지널 | 카테고리: 과자
과자,2014038329991,카사바칩 칠리페퍼맛,과자,미찌푸드㈜강원도 원주시 문막읍 반산2로 72 전화번호 080-550-1550,㈜이마트/서울특별시 성동구 뚝섬로 377(성수동 2가) 전화번호(02)380-5678,"베지터블크레커펠렛73.5%[인도네시아산/카사바55.75%,타피오카플라워,백설탕,레드칠리2.1%,부추,정제소금,핫칠리0.74%,페퍼0.74%,아시아생강],팜올레인유(말레이시아산),칠리페퍼맛씨즈닝2.5%[흑후추분(베트남산)30.4%,감칠맛분말엔29.7%{미분염(국내산),흑후추분(베트남산)8.75%}] 특정성분명 및 함량 : 카사바(인도네시아산)40%, 칠리(인도네시아산)2%,페퍼(인도네시아산)0.5%,흑후추분(베트남산)0.8%","대두,밀,쇠고기함유","총 내용량 100g 499kcal 총 내용량당 1일 영양성분 기준치에 대한 비율 : 나트륨 932mg 47%, 탄수화물 53g 16%, 당류 12g, 지방 30g 59%, 트랜스지방 0g, 포화지방 13g 87%, 콜레스테롤 0mg 0%, 단백질 1g 2% 1일 영양성분 기준치에 대한 비율(%)은 2,000kcal기준이므로 개인의 필요 열량에 따라 다를 수 있습니다. ",8809189921968,100g,식품,http://www.haccp.or.kr/fresh/prdimg/2014/2014038329991/2014038329991-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2014/2014038329991/2014038329991-2.jpg,유탕처리제품,830,품목유형: 과자,제품명: 카사바칩 칠리페퍼맛 | 카테고리: 과자
과자,201403832998,콘칩,과자,미찌푸드㈜_강원도 원주시 문막읍 반산2로 72,미찌푸드㈜_강원도 원주시 문막읍 반산2로 72,"콘칩펠렛1 67.3%[옥수수그릿츠99.41%{외국산(브라질,호주,러시아 등)}, 정제염(국내산)], 팜올레인유(말레이시아산), 구운옥수수맛씨즈닝분말[군옥수수맛시즈닝분말{그레이비스농축분말엔(우육:호주산)}, 슈퍼스위트콘믹스-1{알파콘(옥수수:브라질,호주,미국산)}]","대두, 우유, 쇠고기","총 내용량 730g 100g당 506kcal
<100g당 1일 영양성분 기준치에 대한 비율>
나트륨390㎎ 20%, 탄수화물68g 21%, 당류2g, 지방24g 47%, 트랜스지방0.2g, 포화지방14g 93%, 콜레스테롤0㎎ 0%, 단백질6g 11%
1일 영양성분 기준치에 대한 비율(%)은 2,000kcal 기준이므로 개인의 필요 열량에 따라 다를 수 있습니다.",8809189922248,730g,식품,http://www.haccp.or.kr/fresh/prdimg/2014/201403832998/201403832998-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2014/201403832998/201403832998-2.jpg,유탕처리제품,831,품목유형: 과자,제품명: 콘칩 | 카테고리: 과자
과자,2014038329962,NH 콘칩,과자,미찌푸드㈜_강원도 원주시 문막읍 반산2로 72,㈜농협하나로유통_서울특별시 마포구 신촌로 66,"콘칩펠렛1 / 67.3%[옥수수그릿츠99.41%{외국산(브라질,호주,러시아 등)}, 정제염(국내산)], 팜올레인유(말레이시아산), 구운옥수수맛씨즈닝분말[군옥수수맛시즈닝분말{그레이비스농축분말엔(우육:호주산)}, 슈퍼스위트콘믹스-1{알파콘(옥수수:브라질,호주,미국산)}] / 특정성분 : 옥수수{외국산(브라질,호주,러시아 등)}66%","우유, 대두, 쇠고기","총 내용량 190g 100g당 506kcal
<100g당 1일 영양성분 기준치에 대한 비율>
나트륨390mg 20%, 탄수화물68g 21%, 당류2g 2%, 지방24g 44%, 트랜스지방0g, 포화지방14g 93%, 콜레스테롤0mg 0%, 단백질6g 11%
1일 영양성분 기준치에 대한 비율(%)은 2,000kcal 기준이므로 개인의 필요 열량에 따라 다를 수 있습니다.",8809189921593,190g ,식품,http://www.haccp.or.kr/fresh/prdimg/2014/2014038329962/2014038329962-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2014/2014038329962/2014038329962-2.jpg,유탕처리제품,832,품목유형: 과자,제품명: NH 콘칩 | 카테고리: 과자
과자,2014038329961,NH 갈릭새우칩,과자,미찌푸드㈜_강원도 원주시 문막읍 반산2로 72,"㈜농협하나로유통_서울특별시 중구 통일로 92, 7층(순화동)","새우크래커(인도네시아산/타피오카분말, 새우, 백설탕, 식염, 계란), 팜올레인유(말레이시아산), 복합조미식품(갈릭씨즈닝H(우유,대두))","새우,계란,우유,대두","1회 제공량 1/5 봉지 28g 총 5회 제공량 140g
<1회 제공량당 함량 *%영양소 기준치>
열량150kcal, 탄수화물17g 5%, 당류2g, 단백질1g미만 1%, 지방9g 18%, 포화지방3.8g 25%, 트랜스지방0g, 콜레스테롤0mg 0%, 나트륨252mg 13%
* % 영양소기준치 : 1일 영양소기준치에 대한 비율임",알수없음,140g,식품,http://www.haccp.or.kr/fresh/prdimg/2014/2014038329961/2014038329961-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2014/2014038329961/2014038329961-2.jpg,유탕처리제품,833,품목유형: 과자,제품명: NH 갈릭새우칩 | 카테고리: 과자
과자,2014038329960,NH 하나로짱,과자,㈜미찌푸드_강원도 원주시 문막읍 반산2로 72,㈜농협하나로유통_서울특별시 마포구 신촌로 66,"소맥분(미국산), 팜올레인유(말레이시아산), 백설탕, 물엿, 식물성크림[식물성유지(말레이시아산), 유청분말{우유:외국산(에스토니아, 칠레, 핀란드 등)}], 정제염(국내산), 난각분말, 산도조절제, 검정깨(국내산)0.2%, 넛맥, 너트메그, 계피엑기스레진, 합성착향료(비스켓향, 크래커향), 스테비텐후레쉬, 복합조미식품(조미인핸서분말K)/특정성분: 검정깨(국산)0.2%","계란, 밀, 우유, 대두, 쇠고기","총 내용량 310g 100g당 468kcal
<100g당 1일 영양성분 기준치에 대한 비율>
나트륨67mg 3%, 탄수화물74g 23%, 당류20g 20%, 지방17g 31%, 트랜스지방0g, 포화지방9.2g 61%, 콜레스테롤0mg 0%, 단백질5g 9%
1일 영양성분 기준치에 대한 비율(%)은 2,000kcal 기준이므로 개인의 필요 열량에 따라 다를 수 있습니다.",8809189921494,310g,식품,http://www.haccp.or.kr/fresh/prdimg/2014/2014038329960/2014038329960-1.jpg,http://www.haccp.or.kr/fresh/prdimg/2014/2014038329960/2014038329960-2.jpg,유탕처리제품,834,품목유형: 과자,제품명: NH 하나로짱 | 카테고리: 과자
